Date,AGG,FPURX,ONEQ,SPY,VWELX
2015-01-02,110.43000030517578,21.489999771118164,184.89999389648438,205.42999267578125,39.15999984741211
2015-01-05,110.66999816894531,21.229999542236328,183.1300048828125,201.72000122070312,38.72999954223633
2015-01-06,110.94999694824219,21.079999923706055,179.89999389648438,199.82000732421875,38.599998474121094
2015-01-07,110.93000030517578,21.280000686645508,182.16000366210938,202.30999755859375,38.84000015258789
2015-01-08,110.76000213623047,21.530000686645508,185.8800048828125,205.89999389648438,39.2599983215332
2015-01-09,111.02999877929688,21.440000534057617,185.00999450683594,204.25,39.09000015258789
2015-01-12,111.12000274658203,21.329999923706055,183.25,202.64999389648438,38.970001220703125
2015-01-13,111.1500015258789,21.309999465942383,183.17999267578125,202.0800018310547,38.939998626708984
2015-01-14,111.41999816894531,21.219999313354492,182.14999389648438,200.86000061035156,38.83000183105469
2015-01-15,111.93000030517578,21.079999923706055,179.66000366210938,199.02000427246094,38.77000045776367
2015-01-16,111.5,21.270000457763672,181.99000549316406,201.6300048828125,39.040000915527344
2015-01-20,111.69000244140625,21.309999465942383,182.8300018310547,202.05999755859375,39.09000015258789
2015-01-21,111.48999786376953,21.3700008392334,183.3800048828125,203.0800018310547,39.16999816894531
2015-01-22,111.43000030517578,21.579999923706055,186.6300048828125,206.10000610351562,39.5099983215332
2015-01-23,111.70999908447266,21.579999923706055,186.99000549316406,204.97000122070312,39.380001068115234
2015-01-26,111.66000366210938,21.639999389648438,187.4499969482422,205.4499969482422,39.45000076293945
2015-01-27,111.5999984741211,21.459999084472656,183.92999267578125,202.74000549316406,39.130001068115234
2015-01-28,112.06999969482422,21.309999465942383,182.36000061035156,200.13999938964844,38.779998779296875
2015-01-29,111.9800033569336,21.43000030517578,183.89999389648438,201.99000549316406,38.90999984741211
2015-01-30,112.37999725341797,21.260000228881836,182.19000244140625,199.4499969482422,38.61000061035156
2015-02-02,112.19999694824219,21.389999389648438,183.25999450683594,201.9199981689453,38.970001220703125
2015-02-03,111.7699966430664,21.559999465942383,185.67999267578125,204.83999633789062,39.279998779296875
2015-02-04,111.94000244140625,21.520000457763672,184.77999877929688,204.05999755859375,39.20000076293945
2015-02-05,111.70999908447266,21.68000030517578,186.99000549316406,206.1199951171875,39.380001068115234
2015-02-06,111.05999755859375,21.6299991607666,185.74000549316406,205.5500030517578,39.25
2015-02-09,111.04000091552734,21.549999237060547,186.0,204.6300048828125,39.15999984741211
2015-02-10,110.91999816894531,21.700000762939453,187.89999389648438,206.80999755859375,39.380001068115234
2015-02-11,110.87000274658203,21.709999084472656,188.74000549316406,206.92999267578125,39.369998931884766
2015-02-12,110.88999938964844,21.860000610351562,190.7899932861328,208.9199981689453,39.650001525878906
2015-02-13,110.76000213623047,21.93000030517578,192.4499969482422,209.77999877929688,39.75
2015-02-17,110.30999755859375,21.940000534057617,192.52000427246094,210.11000061035156,39.7400016784668
2015-02-18,110.62000274658203,21.979999542236328,192.8300018310547,210.1300048828125,39.720001220703125
2015-02-19,110.52999877929688,21.979999542236328,193.72999572753906,209.97999572753906,39.63999938964844
2015-02-20,110.55000305175781,22.09000015258789,194.5500030517578,211.24000549316406,39.790000915527344
2015-02-23,110.75,22.100000381469727,195.0,211.2100067138672,39.81999969482422
2015-02-24,111.23999786376953,22.15999984741211,195.44000244140625,211.80999755859375,40.0099983215332
2015-02-25,111.31999969482422,22.15999984741211,195.38999938964844,211.6300048828125,40.0
2015-02-26,110.91999816894531,22.149999618530273,196.0,211.3800048828125,39.900001525878906
2015-02-27,111.19999694824219,22.1299991607666,195.36000061035156,210.66000366210938,39.869998931884766
2015-03-02,110.44999694824219,22.239999771118164,196.99000549316406,211.99000549316406,39.939998626708984
2015-03-03,110.30999755859375,22.15999984741211,195.97999572753906,211.1199951171875,39.790000915527344
2015-03-04,110.37000274658203,22.1299991607666,195.1300048828125,210.22999572753906,39.720001220703125
2015-03-05,110.41999816894531,22.200000762939453,195.97999572753906,210.4600067138672,39.7400016784668
2015-03-06,109.69999694824219,21.979999542236328,193.88999938964844,207.5,39.31999969482422
2015-03-09,109.9800033569336,22.040000915527344,194.47999572753906,208.36000061035156,39.45000076293945
2015-03-10,110.23999786376953,21.809999465942383,191.47999572753906,204.97999572753906,39.0
2015-03-11,110.45999908447266,21.809999465942383,190.89999389648438,204.5,39.0
2015-03-12,110.55000305175781,21.989999771118164,192.5,207.10000610351562,39.310001373291016
2015-03-13,110.33999633789062,21.93000030517578,191.7100067138672,205.8300018310547,39.16999816894531
2015-03-16,110.58000183105469,22.1299991607666,194.0,208.5800018310547,39.56999969482422
2015-03-17,110.55999755859375,22.100000381469727,194.4499969482422,207.9600067138672,39.470001220703125
2015-03-18,111.37000274658203,22.299999237060547,195.97999572753906,210.4600067138672,39.93000030517578
2015-03-19,110.9800033569336,22.25,196.5500030517578,209.5,39.70000076293945
2015-03-20,111.31999969482422,22.3799991607666,197.58999633789062,210.41000366210938,40.0099983215332
2015-03-23,111.33999633789062,22.329999923706055,196.86000061035156,210.0,39.9900016784668
2015-03-24,111.63999938964844,22.260000228881836,196.22000122070312,208.82000732421875,39.84000015258789
2015-03-25,111.43000030517578,21.989999771118164,191.61000061035156,205.75999450683594,39.45000076293945
2015-03-26,111.02999877929688,21.940000534057617,191.08999633789062,205.27000427246094,39.09000015258789
2015-03-27,111.19000244140625,22.010000228881836,192.05999755859375,205.74000549316406,39.16999816894531
2015-03-30,111.23999786376953,22.18000030517578,194.14999389648438,208.25,39.459999084472656
2015-03-31,111.43000030517578,22.059999465942383,192.6199951171875,206.42999267578125,39.25
2015-04-01,111.58000183105469,21.940000534057617,191.3000030517578,205.6999969482422,39.209999084472656
2015-04-02,111.43000030517578,21.989999771118164,191.9199981689453,206.44000244140625,39.290000915527344
2015-04-06,111.5,22.059999465942383,193.1699981689453,207.8300018310547,39.45000076293945
2015-04-07,111.5199966430664,22.06999969482422,192.9199981689453,207.27999877929688,39.47999954223633
2015-04-08,111.52999877929688,22.139999389648438,194.3000030517578,207.97999572753906,39.56999969482422
2015-04-09,111.25,22.18000030517578,195.44000244140625,208.89999389648438,39.650001525878906
